Sample,Assay,Platform,ht,ht_bin,qPCR,qPCR_bin
100682,BRKT,ht,4,1,3,1
100682,BUL2,ht,4,1,NA,NA
100682,CCUT,ht,0,0,NA,NA
100682,CHIN,ht,0,0,NA,NA
100682,CHUM,ht,0,0,NA,NA
100682,COHO,ht,0,0,0,0
100682,PALA,ht,0,0,NA,NA
100682,PINK,ht,0,0,NA,NA
100682,RNBT,ht,4,1,NA,NA
100682,SOCK,ht,0,0,NA,NA
100683,BRKT,ht,4,1,3,1
100683,BUL2,ht,4,1,NA,NA
100683,CCUT,ht,0,0,NA,NA
100683,CHIN,ht,0,0,NA,NA
100683,CHUM,ht,0,0,NA,NA
100683,COHO,ht,0,0,NA,NA
100683,PALA,ht,0,0,NA,NA
100683,PINK,ht,0,0,NA,NA
100683,RNBT,ht,4,1,NA,NA
100683,SOCK,ht,0,0,NA,NA
100685,BRKT,ht,4,1,3,1
100685,BUL2,ht,4,1,NA,NA
100685,CCUT,ht,0,0,NA,NA
100685,CHIN,ht,0,0,NA,NA
100685,CHUM,ht,0,0,NA,NA
100685,COHO,ht,0,0,NA,NA
100685,PALA,ht,0,0,NA,NA
100685,PINK,ht,0,0,NA,NA
100685,RNBT,ht,4,1,NA,NA
100685,SOCK,ht,0,0,NA,NA
100686,BRKT,ht,4,1,3,1
100686,BUL2,ht,4,1,NA,NA
100686,CCUT,ht,0,0,NA,NA
100686,CHIN,ht,0,0,NA,NA
100686,CHUM,ht,0,0,NA,NA
100686,COHO,ht,0,0,NA,NA
100686,PALA,ht,0,0,NA,NA
100686,PINK,ht,0,0,NA,NA
100686,RNBT,ht,4,1,NA,NA
100686,SOCK,ht,0,0,NA,NA
100688,BRKT,ht,4,1,3,1
100688,BUL2,ht,4,1,NA,NA
100688,CCUT,ht,0,0,NA,NA
100688,CHIN,ht,0,0,NA,NA
100688,CHUM,ht,0,0,NA,NA
100688,COHO,ht,0,0,NA,NA
100688,PALA,ht,0,0,NA,NA
100688,PINK,ht,0,0,NA,NA
100688,RNBT,ht,4,1,NA,NA
100688,SOCK,ht,0,0,NA,NA
AK_082220_FALL_01,BRKT,ht,0,0,NA,NA
AK_082220_FALL_01,BUL2,ht,0,0,NA,NA
AK_082220_FALL_01,CCUT,ht,0,0,NA,NA
AK_082220_FALL_01,CHIN,ht,1,0,NA,NA
AK_082220_FALL_01,CHUM,ht,0,0,NA,NA
AK_082220_FALL_01,COHO,ht,1,0,NA,NA
AK_082220_FALL_01,PALA,ht,0,0,NA,NA
AK_082220_FALL_01,PINK,ht,0,0,3,1
AK_082220_FALL_01,RNBT,ht,4,1,NA,NA
AK_082220_FALL_01,SOCK,ht,0,0,3,1
AK_082220_FALL_02,BRKT,ht,0,0,NA,NA
AK_082220_FALL_02,BUL2,ht,0,0,NA,NA
AK_082220_FALL_02,CCUT,ht,0,0,0,0
AK_082220_FALL_02,CHIN,ht,0,0,NA,NA
AK_082220_FALL_02,CHUM,ht,0,0,NA,NA
AK_082220_FALL_02,COHO,ht,4,1,2,1
AK_082220_FALL_02,PALA,ht,0,0,NA,NA
AK_082220_FALL_02,PINK,ht,0,0,2,1
AK_082220_FALL_02,RNBT,ht,0,0,NA,NA
AK_082220_FALL_02,SOCK,ht,4,1,3,1
