assay,species,Max AP,chip1,chip2,chip3,chip4,chip5,chip6,chip_binary,chip_binary_2
COHO,Oncorhynchus clarkii clarkii,0.367,0,0,,,,,0,0
COHO,Oncorhynchus gorbuscha,0.33,0,0,,,,,0,0
COHO,Oncorhynchus keta,0.239,0,0,,,,,0,0
COHO,Oncorhynchus kisutch,0.973,4,4,,,,,,
COHO,Oncorhynchus mykiss,0.365,0,0,,,,,0,0
COHO,Oncorhynchus nerka,0.369,2,0,,,,,1,1
COHO,Oncorhynch. tshawytscha,0.193,0,0,,,,,0,0
COHO,Salmo trutta,0.344,0,0,,,,,0,0
COHO,Salvelinus alpinus,0.365,0,0,,,,,0,0
COHO,Salvelinus confluentus,,0,0,,,,,0,0
COHO,Salvelinus fontinalis,0.33,2,2,0,0,0,0,1,1
COHO,Salvelinus malma,0.368,0,0,,,,,0,0
COHO,Salvelinus namaycush,0.365,0,0,,,,,0,0
COHO,Lampetra ayressi,,0,0,,,,,0,0
CHIN,Oncorhynchus clarkii clarkii,0.211,0,0,,,,,0,0
CHIN,Oncorhynchus gorbuscha,0.256,0,0,,,,,0,0
CHIN,Oncorhynchus keta,0.289,1,0,,,,,0,1
CHIN,Oncorhynchus kisutch,0.165,0,0,,,,,0,0
CHIN,Oncorhynchus mykiss,0.125,0,0,,,,,0,0
CHIN,Oncorhynchus nerka,0.099,0,0,,,,,0,0
CHIN,Oncorhynchus. tshawytscha,0.966,4,4,,,,,,
CHIN,Salmo trutta,0.239,0,0,,,,,0,0
CHIN,Salvelinus alpinus,0.289,0,0,,,,,0,0
CHIN,Salvelinus confluentus,,1,1,,,,,0,1
CHIN,Salvelinus fontinalis,0.246,0,0,,,,,0,0
CHIN,Salvelinus malma,0.22,1,0,0,0,0,0,0,1
CHIN,Salvelinus namaycush,0.248,0,0,,,,,0,0
CHIN,Lampetra ayressi,,0,0,,,,,0,0
CHUM,Oncorhynchus clarkii clarkii,0.215,0,0,,,,,0,0
CHUM,Oncorhynchus gorbuscha,0.298,0,4,,,,,1,1
CHUM,Oncorhynchus keta,0.985,4,4,,,,,,
CHUM,Oncorhynchus kisutch,0.271,0,0,,,,,0,0
CHUM,Oncorhynchus mykiss,0.198,0,1,,,,,0,1
CHUM,Oncorhynchus nerka,0.202,0,0,,,,,0,0
CHUM,Oncorhynch. tshawytscha,0.302,0,0,,,,,0,0
CHUM,Salmo trutta,0.204,0,2,,,,,1,1
CHUM,Salvelinus alpinus,0.172,0,0,,,,,0,0
CHUM,Salvelinus confluentus,0.183,0,0,,,,,0,0
CHUM,Salvelinus fontinalis,0.142,0,0,,,,,0,0
CHUM,Salvelinus malma,0.218,0,0,1,2,0,0,1,1
CHUM,Salvelinus namaycush,0.18,0,0,,,,,0,0
CHUM,Lampetra ayressi,,0,0,,,,,0,0
PNKS,Oncorhynchus clarkii clarkii,0.268,0,0,,,,,0,0
